,pir_duplicates,pir_messages,env_duplicates,env_messages,pir_delivery_ratio,network_delivery_ratio
2019-06-09 02:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 02:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-09 02:45:00+00:00,0,0,1,82,0.0,0.9111111111111111
2019-06-09 03:00:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-09 03:15:00+00:00,0,0,2,84,0.0,0.9333333333333333
2019-06-09 03:30:00+00:00,0,0,0,72,0.0,0.8
2019-06-09 03:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 04:00:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-09 04:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 04:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-09 04:45:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-09 05:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-09 05:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 05:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 05:45:00+00:00,0,0,1,82,0.0,0.9111111111111111
2019-06-09 06:00:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-09 06:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 06:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 06:45:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-09 07:00:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-09 07:15:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-09 07:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 07:45:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-09 08:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-09 08:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-09 08:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 08:45:00+00:00,0,0,0,81,0.0,0.9
2019-06-09 09:00:00+00:00,0,0,0,88,0.0,0.9777777777777777
2019-06-09 09:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 09:30:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-09 09:45:00+00:00,0,0,1,82,0.0,0.9111111111111111
2019-06-09 10:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-09 10:15:00+00:00,0,0,0,81,0.0,0.9
2019-06-09 10:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 10:45:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-09 11:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 11:15:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-09 11:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 11:45:00+00:00,0,0,0,77,0.0,0.8555555555555555
2019-06-09 12:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 12:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 12:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 12:45:00+00:00,0,0,0,75,0.0,0.8333333333333334
2019-06-09 13:00:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-09 13:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 13:30:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-09 13:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 14:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 14:15:00+00:00,0,0,1,85,0.0,0.9444444444444444
2019-06-09 14:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 14:45:00+00:00,0,0,1,83,0.0,0.9222222222222223
2019-06-09 15:00:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-09 15:15:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-09 15:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 15:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 16:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 16:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-09 16:30:00+00:00,0,0,1,82,0.0,0.9111111111111111
2019-06-09 16:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 17:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 17:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 17:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 17:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-09 18:00:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-09 18:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 18:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 18:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 19:00:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-09 19:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-09 19:30:00+00:00,0,0,1,85,0.0,0.9444444444444444
2019-06-09 19:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 20:00:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-09 20:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 20:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 20:45:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-09 21:00:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-09 21:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 21:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 21:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 22:00:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 22:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-09 22:30:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 22:45:00+00:00,0,0,0,81,0.0,0.9
2019-06-09 23:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-09 23:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-09 23:30:00+00:00,0,0,1,83,0.0,0.9222222222222223
2019-06-09 23:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-10 00:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 00:15:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 00:30:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-10 00:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 01:00:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-10 01:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-10 01:30:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-10 01:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 02:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-10 02:15:00+00:00,0,0,1,77,0.0,0.8555555555555555
2019-06-10 02:30:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 02:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 03:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 03:15:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-10 03:30:00+00:00,0,0,0,87,0.0,0.9666666666666667
2019-06-10 03:45:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-10 04:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-10 04:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-10 04:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 04:45:00+00:00,0,4,0,79,0.09090909090909091,0.8777777777777778
2019-06-10 05:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 05:15:00+00:00,0,12,0,83,0.2727272727272727,0.9222222222222223
2019-06-10 05:30:00+00:00,0,19,0,81,0.4318181818181818,0.9
2019-06-10 05:45:00+00:00,0,34,0,84,0.7727272727272727,0.9333333333333333
2019-06-10 06:00:00+00:00,0,40,1,81,0.9090909090909091,0.9
2019-06-10 06:15:00+00:00,0,32,0,80,0.7272727272727273,0.8888888888888888
2019-06-10 06:30:00+00:00,0,1,0,82,0.022727272727272728,0.9111111111111111
2019-06-10 06:45:00+00:00,0,11,0,83,0.25,0.9222222222222223
2019-06-10 07:00:00+00:00,0,20,0,81,0.45454545454545453,0.9
2019-06-10 07:15:00+00:00,0,26,0,81,0.5909090909090909,0.9
2019-06-10 07:30:00+00:00,0,35,0,76,0.7954545454545454,0.8444444444444444
2019-06-10 07:45:00+00:00,0,18,0,76,0.4090909090909091,0.8444444444444444
2019-06-10 08:00:00+00:00,0,13,0,79,0.29545454545454547,0.8777777777777778
2019-06-10 08:15:00+00:00,0,2,0,66,0.045454545454545456,0.7333333333333333
2019-06-10 08:30:00+00:00,0,5,0,71,0.11363636363636363,0.7888888888888889
2019-06-10 08:45:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 09:00:00+00:00,0,28,1,74,0.6363636363636364,0.8222222222222222
2019-06-10 09:15:00+00:00,0,5,0,80,0.11363636363636363,0.8888888888888888
2019-06-10 09:30:00+00:00,0,16,0,80,0.36363636363636365,0.8888888888888888
2019-06-10 09:45:00+00:00,0,14,0,80,0.3181818181818182,0.8888888888888888
2019-06-10 10:00:00+00:00,0,29,0,78,0.6590909090909091,0.8666666666666667
2019-06-10 10:15:00+00:00,0,23,0,78,0.5227272727272727,0.8666666666666667
2019-06-10 10:30:00+00:00,0,2,0,85,0.045454545454545456,0.9444444444444444
2019-06-10 10:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-10 11:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 11:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-10 11:30:00+00:00,0,10,0,84,0.22727272727272727,0.9333333333333333
2019-06-10 11:45:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-10 12:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 12:15:00+00:00,0,5,0,80,0.11363636363636363,0.8888888888888888
2019-06-10 12:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 12:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-10 13:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-10 13:15:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 13:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-10 13:45:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 14:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 14:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 14:30:00+00:00,0,0,0,77,0.0,0.8555555555555555
2019-06-10 14:45:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-10 15:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 15:15:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-10 15:30:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-10 15:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-10 16:00:00+00:00,0,0,0,84,0.0,0.9333333333333333
2019-06-10 16:15:00+00:00,0,0,0,86,0.0,0.9555555555555556
2019-06-10 16:30:00+00:00,0,0,0,85,0.0,0.9444444444444444
2019-06-10 16:45:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 17:00:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-10 17:15:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 17:30:00+00:00,0,0,1,84,0.0,0.9333333333333333
2019-06-10 17:45:00+00:00,0,0,0,78,0.0,0.8666666666666667
2019-06-10 18:00:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-10 18:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-10 18:30:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 18:45:00+00:00,0,0,0,82,0.0,0.9111111111111111
2019-06-10 19:00:00+00:00,0,0,0,81,0.0,0.9
2019-06-10 19:15:00+00:00,0,0,0,80,0.0,0.8888888888888888
2019-06-10 19:30:00+00:00,0,0,0,79,0.0,0.8777777777777778
2019-06-10 19:45:00+00:00,0,0,0,76,0.0,0.8444444444444444
2019-06-10 20:00:00+00:00,0,0,0,83,0.0,0.9222222222222223
2019-06-10 20:15:00+00:00,0,0,0,82,0.0,0.9111111111111111
